    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    au81              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0  
    au85              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0  
    au89       .3017817              .                          .1796251                  .                .1813704                     .                   .3178652                         .                       .3173587                       .                     .1796251                           .                         .1813704                    .           .           .           .    .3021271                 .                .318577                     .                   .3179957   18845.35      6117.478    52.15847          0               15313.45                 0                   14481.35                     0       2387.499           0           0           0    18810.85     .9880087  
    au95       .3043028              .                           .135761                  .                .1423012                     .                   .3273145                         .                       .3260432                       .                      .135761                           .                         .1423012                    .           .           .           .    .3049238                 .               .3289673                     .                   .3273486   21207.11      1416.435    119.8809          0                18228.4                 0                    17285.6                     0       1416.407           0           0           0    21097.89     .9904961  
    au01       .3141239              .                          .1393563                  .                .1453828                     .                    .340133                         .                       .3390247                       .                     .1393563                           .                         .1453828                    .           .           .           .    .3146903                 .               .3419774                     .                   .3404832   27418.53      1820.453    188.1917          0               23842.95                 0                   22628.32                     0       1820.434           0           0           0       27386     .9914727  
    au03       .3098915              .                          .1397609                  .                .1448656                     .                   .3368371                         .                       .3358276                       .                     .1397609                           .                         .1448656                    .    .4835178    .4137664    .3647899    .3105161                 .               .3389125                     .                   .3374965   29554.82      2059.311    219.0015          0               26438.74                 0                   25167.76                     0       2059.293    33524.25    36530.58    38699.15    29495.79     .9912635  
    au08       .3332253              .                          .1783182                  .                .1862726                     .                   .3522762                         .                       .3511311                       .                     .1783182                           .                         .1862726                    .    .4886345    .4241046    .3827727    .3332824                 .               .3524509                     .                   .3513371   47415.62      10360.25    761.3362          0               38119.43                 0                   36203.25                     0       2975.538    52442.39    57042.71     59977.3    47412.06     .9964684  
    au10       .3308726       .1968332                          .1787966           .2160486                .1863146              .3470088                   .3491801                  .3445543                       .3480973                .1968332                     .1787966                    .2160486                         .1863146             .3308726    .4927183    .4193896    .3720584    .3273597          .3485977               .3493327              .3463735                   .3482701   49668.35       13018.7    798.0413    36222.3               39797.23          39797.23                   37722.95              37722.94       4000.719    53160.88    58420.54     61824.4    49892.57     .5433912  
    at87              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0  
    at97              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0  
    at00              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0  
