    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    lu04               1          .   6321.394           .                   .5815272                       .  
    lu04               2          .   10628.25           .                   .6761851                       .  
    lu04               3          .   11987.21           .                   .7096959                       .  
    lu04               4          .   13302.12           .                   .7299188                       .  
    lu04               5          .    14239.4           .                   .7348218                       .  
    lu04               6          .   14665.22           .                   .7453426                       .  
    lu04               7          .   15120.71           .                   .7611873                       .  
    lu04               8          .   15514.74           .                   .7625744                       .  
    lu04               9          .   16136.52           .                   .7655376                       .  
    lu04              10          .   16737.71           .                   .7752004                       .  
    lu04              11          .   17383.02           .                   .7876447                       .  
    lu04              12          .   18079.98           .                   .7946939                       .  
    lu04              13          .   18838.52           .                   .7955266                       .  
    lu04              14          .   19364.33           .                   .8105883                       .  
    lu04              15          .   19913.61           .                   .8080463                       .  
    lu04              16          .   20490.52           .                   .8367624                       .  
    lu04              17          .   20894.05           .                   .8382208                       .  
    lu04              18          .   21292.29           .                   .8461195                       .  
    lu04              19          .   21721.63           .                    .861728                       .  
    lu04              20          .   22264.17           .                   .8742934                       .  
    lu04              21          .   22644.53           .                   .8714443                       .  
    lu04              22          .   23018.77           .                   .8865541                       .  
    lu04              23          .    23498.2           .                    .901216                       .  
    lu04              24          .   23803.26           .                   .9152636                       .  
    lu04              25          .   24107.83           .                   .9122341                       .  
    lu04              26          .   24374.04           .                   .9194785                       .  
    lu04              27          .   24686.69           .                   .9374384                       .  
    lu04              28          .   24985.96           .                   .9262523                       .  
    lu04              29          .   25218.08           .                    .927851                       .  
    lu04              30          .   25439.78           .                   .9465487                       .  
    lu04              31          .   25725.32           .                   .9568651                       .  
    lu04              32          .   26203.41           .                   .9607285                       .  
    lu04              33          .   26583.49           .                   .9754434                       .  
    lu04              34          .    26784.6           .                   .9658678                       .  
    lu04              35          .   27008.57           .                   .9745358                       .  
    lu04              36          .   27293.28           .                   .9765879                       .  
    lu04              37          .   27521.92           .                   .9944164                       .  
    lu04              38          .   28000.93           .                   .9946231                       .  
    lu04              39          .   28324.43           .                   1.004658                       .  
    lu04              40          .   28666.54           .                   1.005231                       .  
    lu04              41          .   29120.98           .                   1.011199                       .  
    lu04              42          .   29629.97           .                   1.032317                       .  
    lu04              43          .   29851.47           .                   1.039818                       .  
    lu04              44          .   30081.49           .                   1.040406                       .  
    lu04              45          .   30494.47           .                   1.052505                       .  
    lu04              46          .   30903.65           .                   1.049099                       .  
    lu04              47          .      31373           .                   1.073061                       .  
    lu04              48          .   31621.67           .                   1.058467                       .  
    lu04              49          .   31905.29           .                   1.065354                       .  
