"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,71830.084,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,77151.79,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,82215.016,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,88359.974,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1983","1983","EUR","Euro","6","Millions",,,94146.775,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1984","1984","EUR","Euro","6","Millions",,,98857.49,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1985","1985","EUR","Euro","6","Millions",,,104329.954,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1986","1986","EUR","Euro","6","Millions",,,109880.625,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1987","1987","EUR","Euro","6","Millions",,,114085.965,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1988","1988","EUR","Euro","6","Millions",,,119645.441,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1989","1989","EUR","Euro","6","Millions",,,127981.232,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,137548.696,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,147464.36,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,155789.392,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,160927.978,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,168954.605,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,176608.75,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,182540.88,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,188723.76,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,196346.61,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,203850.58,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,213606.48,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,220525.08,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,226735.22,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,231862.46,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,242348.26,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,254075.03,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,267824.45,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,283977.97,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,293761.91,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,288044.02,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,295896.64,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,310128.66,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,318653.04,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,323910.2,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,333146.07,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,344269.23,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,357607.95,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,369361.87,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,385423.95,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,397518.54,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2020","2020","EUR","Euro","6","Millions",,,379320.56,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2021","2021","EUR","Euro","6","Millions",,,403370.43,,
